TrainType,TestType,AverageScore,WinRate,TestGames,Layers,TrainGames
DirectionalGhost,DirectionalGhost,-451.637,0.066,1000,4,5000
DirectionalGhost,DirectionalGhost,-503.985,0.02,1000,3,5000
DirectionalGhost,DirectionalGhost,50.062,0.564,1000,5,5000
DirectionalGhost,MaxDirectionalGhost,-500.799,0.016,1000,4,5000
DirectionalGhost,MaxDirectionalGhost,-526.226,0.0,1000,3,5000
DirectionalGhost,MaxDirectionalGhost,89.493,0.601,1000,5,5000
DirectionalGhost,RandomGhost,-210.324,0.308,1000,4,5000
DirectionalGhost,RandomGhost,-315.578,0.205,1000,3,5000
DirectionalGhost,RandomGhost,9.427,0.528,1000,5,5000
DirectionalGhost,RightGhost,-282.229,0.242,1000,4,5000
DirectionalGhost,RightGhost,-488.825,0.033,1000,3,5000
DirectionalGhost,RightGhost,182.99,0.694,1000,5,5000
MaxDirectionalGhost,DirectionalGhost,-180.656,0.337,1000,4,5000
MaxDirectionalGhost,DirectionalGhost,-516.394,0.5,1000,3,5000
MaxDirectionalGhost,DirectionalGhost,-200.515,0.319,1000,5,5000
MaxDirectionalGhost,MaxDirectionalGhost,-224.055,0.294,1000,4,5000
MaxDirectionalGhost,MaxDirectionalGhost,-509.689,0.012,1000,3,5000
MaxDirectionalGhost,MaxDirectionalGhost,-235.225,0.284,1000,5,5000
MaxDirectionalGhost,RandomGhost,-126.703,0.389,1000,4,5000
MaxDirectionalGhost,RandomGhost,-505.543,0.013,1000,3,5000
MaxDirectionalGhost,RandomGhost,-78.536,0.44,1000,5,5000
MaxDirectionalGhost,RightGhost,-9.79,0.502,1000,4,5000
MaxDirectionalGhost,RightGhost,-510.41,0.6,1000,3,5000
MaxDirectionalGhost,RightGhost,57.958,0.569,1000,5,5000
RandomGhost,DirectionalGhost,-24.158,0.489,1000,4,5000
RandomGhost,DirectionalGhost,-103.041,0.416,1000,3,5000
RandomGhost,DirectionalGhost,-2.606,0.509,1000,5,5000
RandomGhost,MaxDirectionalGhost,-69.509,0.444,1000,4,5000
RandomGhost,MaxDirectionalGhost,-123.096,0.3979999999999999,1000,3,5000
RandomGhost,MaxDirectionalGhost,-21.81,0.49,1000,5,5000
RandomGhost,RandomGhost,17.944,0.532,1000,4,5000
RandomGhost,RandomGhost,176.815,0.689,1000,3,5000
RandomGhost,RandomGhost,62.425,0.575,1000,5,5000
RandomGhost,RightGhost,92.706,0.605,1000,4,5000
RandomGhost,RightGhost,300.673,0.807,1000,3,5000
RandomGhost,RightGhost,109.519,0.621,1000,5,5000
RightGhost,DirectionalGhost,-29.872,0.485,1000,4,5000
RightGhost,DirectionalGhost,-509.499,0.005,1000,3,5000
RightGhost,DirectionalGhost,-128.206,0.381,1000,5,5000
RightGhost,MaxDirectionalGhost,-62.36,0.452,1000,4,5000
RightGhost,MaxDirectionalGhost,-511.192,0.4,1000,3,5000
RightGhost,MaxDirectionalGhost,-180.752,0.3289999999999999,1000,5,5000
RightGhost,RandomGhost,49.338,0.565,1000,4,5000
RightGhost,RandomGhost,-513.698,0.003,1000,3,5000
RightGhost,RandomGhost,-5.331,0.504,1000,5,5000
RightGhost,RightGhost,71.863,0.586,1000,4,5000
RightGhost,RightGhost,-513.971,0.0,1000,3,5000
RightGhost,RightGhost,204.21,0.71,1000,5,5000
MaxDirectionalGhost,DirectionalGhost,124.235,0.628,1000,5,50000
MaxDirectionalGhost,MaxDirectionalGhost,73.21,0.576,1000,5,50000
MaxDirectionalGhost,RandomGhost,134.584,0.641,1000,5,50000
MaxDirectionalGhost,RightGhost,304.132,0.807,1000,5,50000
DirectionalGhost,DirectionalGhost,146.267,0.649,1000,5,50000
DirectionalGhost,MaxDirectionalGhost,135.522,0.638,1000,5,50000
DirectionalGhost,RandomGhost,217.618,0.721,1000,5,50000
DirectionalGhost,RightGhost,283.4,0.786,1000,5,50000
RightGhost,DirectionalGhost,-192.852,0.318,1000,4,50000
RightGhost,MaxDirectionalGhost,-175.216,0.335,1000,4,50000
RightGhost,RandomGhost,13.037,0.523,1000,4,50000
RightGhost,RightGhost,385.165,0.883,1000,4,50000
RandomGhost,DirectionalGhost,179.901,0.684,1000,3,50000
RandomGhost,MaxDirectionalGhost,164.356,0.668,1000,3,50000
RandomGhost,RandomGhost,200.782,0.705,1000,3,50000
RandomGhost,RightGhost,222.629,0.727,1000,3,50000

